Equipo,Jugador,Valor_Millones
River Plate,Claudio Echeverri,15.0
River Plate,Miguel Borja,4.0
River Plate,Paulo Díaz,5.0
Boca Juniors,Kevin Zenón,6.0
Boca Juniors,Ezequiel Fernández,9.0
Boca Juniors,Miguel Merentiel,5.0
Racing Club,Juan Fernando Quintero,2.5
Racing Club,Adrián Martínez,3.0
River Plate,Resto_Plantilla,75.0
Boca Juniors,Resto_Plantilla,55.0
Racing Club,Resto_Plantilla,45.0
