Fecha,Local,Visitante,Goles_Local,Goles_Visitante,Resultado
2024-07-29,Central Cordoba de Santiago,Velez Sarsfield,0,2,V
2024-07-30,Belgrano Cordoba,Godoy Cruz,1,0,L
2024-07-30,Argentinos JRS,Lanus,2,0,L
2024-07-31,Union Santa Fe,Rosario Central,1,0,L
2024-07-31,Boca Juniors,Banfield,3,0,L
2024-08-02,Newells Old Boys,Estudiantes L.P.,1,4,V
2024-08-03,Velez Sarsfield,Defensa Y Justicia,3,0,L
2024-08-03,Godoy Cruz,Argentinos JRS,1,0,L
2024-08-03,Talleres Cordoba,Instituto Cordoba,1,1,E
2024-08-03,Independiente,San Lorenzo,0,0,E
2024-08-03,Huracan,Racing Club,0,0,E
2024-08-04,Union Santa Fe,River Plate,0,0,E
2024-08-04,Sarmiento Junin,Belgrano Cordoba,0,0,E
2024-08-04,Boca Juniors,Barracas Central,1,1,E
2024-08-04,Lanus,Tigre,3,2,L
2024-08-04,Atletico Tucuman,Independ. Rivadavia,2,1,L
2024-08-05,Deportivo Riestra,Central Cordoba de Santiago,1,0,L
2024-08-05,Gimnasia L.P.,Rosario Central,0,1,V
2024-08-05,Platense,Banfield,0,1,V
2024-08-08,Argentinos JRS,Sarmiento Junin,0,0,E
2024-08-09,Deportivo Riestra,Lanus,3,1,L
2024-08-09,Barracas Central,Talleres Cordoba,1,1,E
2024-08-09,Belgrano Cordoba,Union Santa Fe,1,1,E
2024-08-10,Racing Club,Gimnasia L.P.,0,1,V
2024-08-10,San Lorenzo,Atletico Tucuman,0,1,V
2024-08-10,Rosario Central,Newells Old Boys,1,0,L
2024-08-10,Independ. Rivadavia,Boca Juniors,1,1,E
2024-08-10,River Plate,Huracan,1,1,E
2024-08-11,Instituto Cordoba,Platense,2,0,L
2024-08-11,Central Cordoba de Santiago,Defensa Y Justicia,2,0,L
2024-08-11,Banfield,Velez Sarsfield,2,2,E
2024-08-11,Estudiantes L.P.,Independiente,0,2,V
2024-08-12,Tigre,Godoy Cruz,0,2,V
2024-08-16,Platense,Barracas Central,0,0,E
2024-08-17,Newells Old Boys,Racing Club,0,1,V
2024-08-17,Lanus,Central Cordoba de Santiago,1,1,E
2024-08-17,Independiente,Rosario Central,1,0,L
2024-08-17,Gimnasia L.P.,River Plate,1,1,E
2024-08-17,Velez Sarsfield,Instituto Cordoba,1,0,L
2024-08-17,Talleres Cordoba,Independ. Rivadavia,2,1,L
2024-08-18,Boca Juniors,San Lorenzo,3,2,L
2024-08-18,Atletico Tucuman,Estudiantes L.P.,2,0,L
2024-08-18,Sarmiento Junin,Tigre,0,0,E
2024-08-18,Huracan,Belgrano Cordoba,1,0,L
2024-08-19,Godoy Cruz,Deportivo Riestra,4,1,L
2024-08-19,Union Santa Fe,Argentinos JRS,3,0,L
2024-08-20,Defensa Y Justicia,Banfield,1,0,L
2024-08-23,Independ. Rivadavia,Platense,0,2,V
2024-08-24,Deportivo Riestra,Sarmiento Junin,2,1,L
2024-08-24,Argentinos JRS,Huracan,0,0,E
2024-08-24,Instituto Cordoba,Defensa Y Justicia,4,1,L
2024-08-24,Tigre,Union Santa Fe,5,1,L
2024-08-25,Lanus,Godoy Cruz,1,1,E
2024-08-25,San Lorenzo,Talleres Cordoba,2,0,L
2024-08-25,Racing Club,Independiente,0,0,E
2024-08-25,River Plate,Newells Old Boys,0,0,E
2024-08-26,Central Cordoba de Santiago,Banfield,0,0,E
2024-08-26,Barracas Central,Velez Sarsfield,0,5,V
2024-08-26,Rosario Central,Atletico Tucuman,1,0,L
2024-08-26,Belgrano Cordoba,Gimnasia L.P.,0,1,V
2024-08-27,Estudiantes L.P.,Boca Juniors,1,1,E
2024-08-30,Sarmiento Junin,Lanus,0,0,E
2024-08-31,Union Santa Fe,Deportivo Riestra,0,0,E
2024-08-31,Defensa Y Justicia,Barracas Central,1,0,L
2024-08-31,Newells Old Boys,Belgrano Cordoba,0,0,E
2024-08-31,Velez Sarsfield,Independ. Rivadavia,4,0,L
2024-08-31,Talleres Cordoba,Estudiantes L.P.,1,0,L
2024-09-01,Boca Juniors,Rosario Central,2,1,L
2024-09-01,Huracan,Tigre,0,2,V
2024-09-01,Platense,San Lorenzo,1,2,V
2024-09-01,Independiente,River Plate,0,0,E
2024-09-01,Atletico Tucuman,Racing Club,1,0,L
2024-09-02,Banfield,Instituto Cordoba,1,2,V
2024-09-02,Gimnasia L.P.,Argentinos JRS,1,0,L
2024-09-02,Godoy Cruz,Central Cordoba de Santiago,1,1,E
2024-09-13,Deportivo Riestra,Huracan,1,0,L
2024-09-13,Lanus,Union Santa Fe,1,1,E
2024-09-13,Central Cordoba de Santiago,Instituto Cordoba,2,1,L
2024-09-14,River Plate,Atletico Tucuman,4,1,L
2024-09-14,San Lorenzo,Velez Sarsfield,0,1,V
2024-09-14,Racing Club,Boca Juniors,2,1,L
2024-09-14,Belgrano Cordoba,Independiente,1,1,E
2024-09-14,Tigre,Gimnasia L.P.,1,1,E
2024-09-15,Godoy Cruz,Sarmiento Junin,1,1,E
2024-09-15,Estudiantes L.P.,Platense,1,1,E
